From1ktoMill,,2019-05-29 15:55:00,2.391,ONCS 8 down
paxamericana30,True,2019-05-29 12:06:00,2.57,ONCS other big takeaway is this means Tavo is working well in current mela trial
boxspread,True,2019-05-29 12:02:00,2.57,ONCS Great news I dont care what the stock price is doing If this can be commercial in some form by EOY it means its working
vanetrade888,True,2019-05-29 11:58:00,2.597,ONCS of course Im busy the day ELTK moons
LoyalShark,,2019-05-29 11:56:00,2.57,ONCS The Australian news is pretty big news Who would have guessed that one And comes on a day like the Duke announcementwhen the market is getting crushed The curse continues
Wazup,,2019-05-29 11:41:00,2.509,ONCS I wonder how much for Tavo in Australia In USA Ketruda is 13500 a month Approx 150k per yearbizjournalscomnewyorknew
rtaker,True,2019-05-29 11:37:00,2.51,ONCS Regardless of the price action Some Hope for LONGS that TAVO works and at least someone sees it
Jjax,,2019-05-29 11:32:00,2.504,ONCS Question Did this actually go down to 50 ish recently like the chart says The 52 week low is higher Is it just a split tgat is not showing yet
LudwigVanBeethoven,,2019-05-29 11:27:00,2.51,ONCS downunder news and down under phew
StopaGE,False,2019-05-29 11:25:00,2.51,ONCS And yet another day with promising news price goes up and then drops for a loss POFS
Apollo2017,,2019-05-29 11:24:00,2.5,ONCS Watch who you Follow here They will Pump you up and shit all over you AC has a whole load of sheep he shits on along with many others You would be best to Block them Fools
paxamericana30,True,2019-05-29 11:20:00,2.537,ONCS Depending on how much they earn dilution may be a thing of the past or substantially reduced
Towelie,,2019-05-29 11:19:00,2.538,ONCS OncoSec to commercialize TAVO in AustraliaNew Zealand seekingalphacomnews34675
ShartingInMyJorts,,2019-05-29 11:18:00,2.538,ONCS how many of you are disappointed with the action so far today
paxamericana30,True,2019-05-29 11:16:00,2.536,ONCS if they only earn 10 million in revenue that is close to a dollar per share in sales revenue
babykailan74,,2019-05-29 11:12:00,2.527,ONCS Warm welcome to all the new bag holders
ShartingInMyJorts,,2019-05-29 11:07:00,2.54,ONCS
lenmac08,,2019-05-29 11:01:00,2.531,ONCS broken stock
Flippincoins03,,2019-05-29 10:59:00,2.54,ONCS jumping In
twags88,,2019-05-29 10:51:00,2.554,ONCS thought this was ready for launch
Wazup,,2019-05-29 10:29:00,2.67,ONCS I wonder what the pricing will be in Austrialia for Tavo treatment
IAMWilliamWallace,True,2019-05-29 10:19:00,2.65,ONCS A long way back up but I am looking forward to the next 12 months Buying today finally got avg down to 6s GL all
mikedeatworld,,2019-05-29 10:12:00,2.672,ONCS news ironcoseccompressreleas
ILUVSPEWINGNONSENSE,,2019-05-29 10:01:00,2.658,ONCS Id also like to add mr AC invester is a horrible pumper too not fooled by there tactics Please take your garbage elsewhere
ILUVSPEWINGNONSENSE,,2019-05-29 09:56:00,2.73,ONCS Wow Mrs piggy you really out did yourself for a few pennies
ILUVSPEWINGNONSENSE,,2019-05-29 09:54:00,2.683,ONCS Looks like mrs piggy was pumping so he could sell a true idiot
Stockbricks,,2019-05-29 09:51:00,2.679,ONCS some really stupid traders in here imo
Aaronspanski,,2019-05-29 09:50:00,2.674,ONCS feel like the news was outshined by others should be a slow and steady climb to 300 atleast by eod my opinion
Plutus_Trader,,2019-05-29 09:48:00,2.676,ONCS stalled
ProfitablePiggg,True,2019-05-29 09:44:00,2.669,ONCS 246 entry yesterday on dip sold at 272 today to lock in profits
Plutus_Trader,,2019-05-29 09:43:00,2.694,ONCS it wants to go up
ProfitablePiggg,True,2019-05-29 09:39:00,2.714,ONCS here it comes bid at 270
ProfitablePiggg,,2019-05-29 09:38:00,2.7,ONCS about to gap up ACInvestorBlog topstockalerts
mikedeatworld,True,2019-05-29 09:38:00,2.7,ONCS Im playing the low float game here I think this could go bananas if we get good data soon
ProfitablePiggg,True,2019-05-29 09:36:00,2.69,ONCS COVER UP TAKE YOUR SMALL LOSES ITS ABOUTTO GET UGLY HERE FOR SHORTS NEXT FEW HOURS
ProfitablePiggg,True,2019-05-29 09:34:00,2.668,ONCS VLRX very similar almost identical plays here both gonna run today hard
ProfitablePiggg,True,2019-05-29 09:32:00,2.7,ONCS THIS RIGHT HERE UNDER 270 IS MY BIGGEST LOAD ALERT FOR THE DAY
ProfitablePiggg,True,2019-05-29 09:30:00,2.646,ONCS big bids
