nickoftime,True,2019-05-24 15:56:00,6.564,Loaded small positions of LABD JNUG UVXY have a good weekend folks
Isuckattradingstock,True,2019-05-24 12:56:00,6.572,bought 2k shares of JNUG this morning at 645 sold for 656 swapped to DUST bought for 23 sold for 2329 swapped back to JNUG got in at 648 and ima just ride it Great day
Trozilla,True,2019-05-24 12:54:00,6.579,JNUG Alright shorts green light for you around 660 ish im not shorting today only longs
jojoblue,,2019-05-24 12:50:00,6.571,JNUG I believe the bottom is in
avidtrader31,,2019-05-24 12:47:00,6.555,JNUG in a nutshell
knomoney,,2019-05-24 12:45:00,6.545,JNUG Lots of rebounds off this line it seems
jerreds,,2019-05-24 12:38:00,6.54,USDJPY JNUG Until any reversal The house of pain for the USD
avidtrader31,,2019-05-24 12:38:00,6.54,JNUG NUGT this might be a repeat from last Friday where it flatlined all day and then at 358pm it shot up which made all the bulls scream 20 inc next week
avidtrader31,,2019-05-24 12:32:00,6.52,JNUG relax with your hopium people This is not it Its going to turn red soon like the pos scam it is
Trozilla,True,2019-05-24 12:32:00,6.52,JNUG my calls here are 100 accurate i love boosting my ego
Dailyquota,,2019-05-24 12:22:00,6.47,JNUG All those that say scam just dont know how to trade Ive bern wiped out before but I fought my way back plus more and learned a few things Now most my money comes from trading Not buying and hoping
vinnyd0331,False,2019-05-24 12:17:00,6.465,JNUG wow what piece of junk Thank god I scalped this for 20 cents and got out with a stop What a POS
Trozilla,True,2019-05-24 12:13:00,6.46,JNUG Peace out for now
Trozilla,True,2019-05-24 12:11:00,6.46,JNUG Support areas should be careful starting a short here
ChangeTrader,,2019-05-24 12:06:00,6.462,JNUG dumpster fire
tradesmart007,,2019-05-24 12:04:00,6.46,JNUG order in for 630
Trozilla,,2019-05-24 12:02:00,6.462,JNUG add at these levels imo
avidtrader31,,2019-05-24 11:47:00,6.45,JNUG it was a good morning scam Now good afternoon scam
chelwynien124,,2019-05-24 11:34:00,6.48,JNUG probably a good thing to get in but ill wait
ChangeTrader,,2019-05-24 11:34:00,6.48,JNUG GOLD AUY BTG GFI all down
sureshchaulagain,,2019-05-24 11:31:00,6.489,JNUG holding 6500 934 Is it possible to break 934 ever Suggestions guys
ttheylive,,2019-05-24 11:25:00,6.5,JNUG whats going on here dxy dropping entered 1100 shares 654
threedrives,,2019-05-24 11:17:00,6.481,JNUG Citibank downgrades GOLD suckers
DeadCenterTrader,False,2019-05-24 11:11:00,6.465,JNUG some hour or day soon jnug is going to plummet again down to a new level Owning jdst there is no worry even if they take some of your gains 1 day because it comes right back up By holding you get every single penny of the up moves not just locking in 25 cents Hold jnug and your ups will be followed by bigger downs
DeadCenterTrader,False,2019-05-24 11:04:00,6.482,JNUG amazing how blackclover nails the exact bottom but doesnt tell us but has no problem posted the sell with no proof of where bought But even if he is right the amount of money he uses is like someone using 5000 to make 150 I know he has big loses And he keeps saying i am always wrong Bought jdst last thursday and holding for gld 200ma Looks right to me
Trozilla,True,2019-05-24 11:03:00,6.48,JNUG Looking to get back in again
GoldenRocket,,2019-05-24 11:03:00,6.48,JDST only I can be in JDST and at the same time see that JNUG is also red both are red at the same time does that make any f sense
Patstock,,2019-05-24 11:00:00,6.508,GLD the move in last one hour is extraordinary in dollar and rates but gold didnt move 1that is not good and stay short JNUG
RockDoctor,,2019-05-24 10:59:00,6.515,JNUG gets no love
LickMyBulls,,2019-05-24 10:58:00,6.525,JNUG shouldnt this be going up as the market drops
beegle,,2019-05-24 10:56:00,6.515,JNUG JDST GDXJ Gold must break out of 1287 for miners to get going GDXJ 2828
Black__Clover,True,2019-05-24 10:51:00,6.515,JNUG in late yesterday at 642 out today at 657 Gonna start the long weekend early GLTA and be safe
Jgabriele,,2019-05-24 10:40:00,6.55,JNUG Last year for Memorial Day Weekend it dropped 123 Lets see what it will do this year How long will the red river flow
ChartMill,,2019-05-24 10:38:00,6.57,Although the technical rating is bad JNUG does present a nice setup opportunity chartmillcomanalyzephpu
sbais,,2019-05-24 10:33:00,6.59,GDX JNUG NUGT is today is the day to move on to next station chu chu chabba chabba
Trozilla,True,2019-05-24 10:29:00,6.569,JNUG If youre getting faked out many times you should add small at first and then add more when it confirms Have mental stop losses to get out quick Use a combination of indicators since using one indicator is a bad ideaKnow the psychology of trading since there will always be a smarter computer that controls big money They are all against you
Ricky_makes_moves,,2019-05-24 10:27:00,6.546,JNUG Bro how LONG does it take for this thing to break out of this stupid trend I mean I couldve traded some but still not worth it Cmon gold where you at Dollar cant be this strong with all the trade wars going on
Godoftrade,,2019-05-24 10:26:00,6.541,JNUG Cross of Death
Trozilla,True,2019-05-24 10:22:00,6.556,JNUG Again been 100 accurate on calls so far Long and short But of course I flip pennies so my calls of 510 cents might not be useful for others with smaller accounts
LickMyBulls,,2019-05-24 10:20:00,6.54,JNUG look at that reversal
FoundaPenny,,2019-05-24 10:18:00,6.527,JNUG USD hanging on by a thread Looks about to sell off
Trozilla,True,2019-05-24 10:16:00,6.532,JNUG Best indicator here is the MACD Buy when the cross is about to happen and look at level 2
Raider_in_Blk,,2019-05-24 10:15:00,6.514,JNUG here we go
DeadCenterTrader,False,2019-05-24 10:15:00,6.514,JNUG morning gang Just thought i would stop by and watch the big jnug rally to maybe 652 Gld 200ma rules the world right now Jnug has no where to go but up unless it goes down Holding my jdst Are you
Trozilla,True,2019-05-24 10:14:00,6.495,JNUG Bullish since MACD crossing
LickMyBulls,,2019-05-24 10:14:00,6.495,JNUG come on jnug go up dude
LoofahFace,,2019-05-24 10:14:00,6.495,JNUG
jerreds,,2019-05-24 10:11:00,6.492,JNUG Well have to wait hopefully next week With a small position Im bullish
UniquelyJames,True,2019-05-24 10:11:00,6.492,wondering where JNUG will be within the next 30 days
kingpol86,True,2019-05-24 10:03:00,6.503,JNUG JDST position in jnug at 646 pt 12 within 6 to 8 weeks Very rare Im bullish on jnug medium term
Isuckattradingstock,True,2019-05-24 10:02:00,6.509,And the upswing begins JNUG
LickMyBulls,True,2019-05-24 10:02:00,6.509,JNUG Found bottom about to rip
ChangeTrader,,2019-05-24 09:57:00,6.486,JNUG someones trying hard to flush out gold
FoundaPenny,True,2019-05-24 09:57:00,6.486,JNUG Lets go
jerreds,,2019-05-24 09:51:00,6.449,JNUG Is like being waterboarded by Wall St for the mean time
GoldenRocket,,2019-05-24 09:49:00,6.443,JDST so far so good as long as sneaky JNUG stays away
Abba457,,2019-05-24 09:45:00,6.456,GDXJ JNUG JDST Gdxj bullish above Alma 2821 bearish below Alma heikin ashi 2831
marketnotyourfriend,,2019-05-24 09:40:00,6.517,JNUG SPY QQQ the story of bulls and bears moving the market is a lie market moves are strictly regulated not a single tick is left to chance financial market is their casino and not of benefit to the public markets will do whatever it takes to cause the greatest amount of pain to the largest number of people thats the shabby truth
Patstock,False,2019-05-24 09:38:00,6.52,GLD huge selling volumestraight line dump Dont waste your money by investing in this crap How obvious manipulation JNUG GDX
lpari1,,2019-05-24 09:34:00,6.485,JNUG jtrash god fucking dammit
