GurlwFatazzpurse,,2019-05-24 15:18:00,16.19,EOLS Pumped like an overinjected nasal labial fold
Stone52,,2019-05-24 13:30:00,15.903,EOLS pumpers on this board must be feeling the pain
shummy,,2019-05-24 13:29:00,15.958,EOLS this is stop loss fishingI think
Ortho91,True,2019-05-24 13:28:00,15.997,EOLS another 100 thanks
paul21,True,2019-05-24 13:27:00,15.974,EOLS ST She broke 16 this just doesnt make senseWhat gives hereInsider buying product launch and lots of positive catalystsI just cant work this stock out
SpacePanda,True,2019-05-24 13:19:00,15.98,EOLS fun Times what am I missing Someone please help me understand how this has a 400M market cap makes Zero sense 14k long at 2350
muchomonito,True,2019-05-24 13:18:00,16.007,EOLS I wish I could have some extra cash to buy more
Stone52,,2019-05-24 13:17:00,16,EOLS uptake is horrible Product being sold at the same price as Botox Folks consumers sticking with what they know Tried and true botox
APJFinancials,True,2019-05-24 13:17:00,16,EOLS Very confident in EOLS Insiders heavily bought at 1925 and only reason for insiders to buy those amount of shares is when theyre very confident on upcoming price action moving upward
nikim,,2019-05-24 13:16:00,16.02,EOLS ill buy at the 15 range
jeana,,2019-05-24 13:14:00,16,EOLS Buy the dip folks cuz I just checked and all Big Pharma took this dive and is now coming outPFE already green This will follow
OptimalGeek,False,2019-05-24 13:14:00,16,EOLS 14 coming PappytheGreek here you go old man you keep pumping this dying stock 14 cant come sooN Enough
jeana,,2019-05-24 13:06:00,16.16,EOLS Buy the dip
Kelly12,,2019-05-24 13:01:00,16.15,EOLS buy the dip or bail
Kelly12,,2019-05-24 13:01:00,16.15,StockReversals any updates on EOLS tanking
APJFinancials,True,2019-05-24 13:00:00,16.08,EOLS Allergan is down almost 2 today and has gone from 148 to 136 within a couple weeks Either way being able to buy this at 16 will be monstrous steal for the potential market cap and rise up into the 30s
Sectorseer,True,2019-05-24 12:49:00,16.18,EOLS Shorts are all over this yesterday and today due to Restriction Expiry Theyre getting all they can before news of revenue comes in They know only a few more trading sessions left before the run up We need some positive PR and Guidance
Stone52,,2019-05-24 12:32:00,16.293,EOLS i warned everyone
Ortho91,True,2019-05-24 12:28:00,16.286,EOLS some here have no patience Its Memorial Day weekend hit attack pieces and excellent buying opportunities Either buy hold or just sell and gtfo Youll buy back higher when you realize you didnt have patience now go enjoy long weekend
ramtek57,,2019-05-24 12:15:00,16.48,EOLS Evolus Inc EOLS Receives Average Rating of Buy from Brokerages sundanceheraldcom201905
JPEstrada,,2019-05-24 12:12:00,16.535,EOLS bought 500 at 1577 a few days ago not liking this price action though this definitely feels different than a short attack
fmroddjr,,2019-05-24 11:59:00,16.498,EOLS Also the credit facility provider Oxford Finance is experienced with providing credit lines to earlystage healthcare companies I would expect they did significant due diligence prior to executing an agreement
fmroddjr,,2019-05-24 11:57:00,16.54,EOLS So if Daewoong loses the suit it seems like Evolus can potentially license the strain from Medytox Seems like Medytox want to establish a license agreement but Evolus chose Daewoong
OptimalGeek,,2019-05-24 11:57:00,16.54,EOLS if this dont break 18s I will not Get back in this needs to break the 17 area for it to go back up the 20s
Htbbth,,2019-05-24 11:49:00,16.485,EOLS cleaned up some noise by blocking and now I have a better SN to get the correct information
OptimalGeek,,2019-05-24 11:48:00,16.5,EOLS dry money lol
Stone52,,2019-05-24 11:40:00,16.499,EOLS can go to zero
DolanFinancial,True,2019-05-24 11:11:00,16.42,EOLS Some Upcoming catalystsEU Approval usually follow same steps as FDA and have already given positive CHMP opinion in April approval expected in JuneContinued analyst upgrades as sales data and order data comes flowing through especially with the social media marketing thats expanding exposure of product being cheaper and possibly even better than Botox Consensus PT is 32 but will raiseOverall market has fallen hard last few weeks from 295 to to 282 on SPY and is due to correct as China trade relations get resolved and boost investor confidence back up into putting money into growth companies such as EOLS once market settlesDaewoong shutting Medytox up once and for all which in itself can completely push EOLS up 68 within a day The AllerganMedytox scare tactics against Daewoong have brought EOLS down temporarily but Daewoong looks positioned to win as every other investigation including FDA approval showed no substance to AGN claimsShow More
Stone52,,2019-05-24 10:52:00,16.535,EOLS upcoming catalysts daiwoog being sued for trade secrets If they lose EOLS goes to zero RVNC to submit application to the FDA for longer acting toxin EOLS to issue more shares from the shelf offering along with Alpheon
Stone52,,2019-05-24 10:45:00,16.45,EOLS stock will be cut in half from here to a more reasonable mkt cap Expect 8 within 3060 days
Kelly12,,2019-05-24 10:40:00,16.381,EOLS Major shareholder sold102 million
Ortho91,True,2019-05-24 10:40:00,16.381,EOLS Ill nickel and dime it all day long
Skipp3r,,2019-05-24 10:37:00,16.415,EOLS stopped out Jeez Breaking through resistance
traderjoze,,2019-05-24 10:36:00,16.435,EOLS company giving enough product away to buy customers providers
crackpot,,2019-05-24 10:35:00,16.5,EOLS 13fs will be out in July Wait until you see who participated in the MS underwriting Might surprise a lot of people how strong investors are And read tea leaves please principals of alphaeon redistributed shares from company to themselves in an arms length transaction Why mmmm
Ortho91,True,2019-05-24 10:30:00,16.544,EOLS another 100 buy
traderjoze,,2019-05-24 10:28:00,16.633,EOLS company discounting product to providers providers not discounting to consumer
traderjoze,,2019-05-24 10:27:00,16.697,EOLS what happened in Cancun will stay in Cancun
JEFFBOND,True,2019-05-24 10:25:00,16.753,EOLS I spoke w Botox providers injectors in NY FL who still havent heard of Evolus Jeuveau or NEWTOX These reputable Drs havent seen any ads in dermatology trade journals or been approached by EOLS sales reps yet MGT is not aggressive enough or efficient with marketing PR IR Sounds like they had a fun party in Cancun exactly how many providers injectors attended CancunFest How many Allergan employees jumped ship over to Evolus
Stone52,,2019-05-24 10:22:00,16.711,EOLS markets up Healthcare and biotechs up Eols down Stock is telling you to GET OUT
Stone52,,2019-05-24 10:13:00,16.861,EOLS Hardly anything expected from EU sales This is from the conf call transcript
crackpot,,2019-05-24 10:06:00,16.948,EOLS Numbers could get really strong quickly As per website adding docs every day almost 3000 now Reorders will be interesting They dont need to take much market share to make real money Excluding technology challenge which I believe a non issue minimum sales should take stock to 20 if real success more like 60 as crazy as may seem
Stone52,,2019-05-24 10:03:00,16.86,EOLS will be down again For those waiting for EU approval it wont matter as management said the money from EU sales will be negligible
Pappy_the_Greek,True,2019-05-24 09:53:00,16.992,EOLS picked up some more I am gonna keep buying just because OptimalGeek doesnt like me
jfrankpowers,True,2019-05-24 09:33:00,17.248,EOLS expecting steady move to 20 in anticipation of EU approval
