elmers_cow,,2019-05-24 15:53:00,9.61,CLDR outside of WF are there any other sources that allude to major delays in CDP development
Malota,,2019-05-24 10:50:00,9.729,CLDR Afterall I really wanna see this going down to 01USD and someone buy it and kick all the management just for the sake of firing them
Newbee221,True,2019-05-24 10:48:00,9.751,CLDR MM at its best where are the SEC
wavehog,,2019-05-24 10:47:00,9.757,CLDR you have to luv the cldrmanages to find some red on a green daythis ticker just loves the color of red
Newbee221,True,2019-05-24 10:47:00,9.757,CLDR only reasonable explanation is that someone big wants to buy this and are resisting or INTC is
Malota,True,2019-05-24 10:45:00,9.769,CLDR this versus ROKU is the biggest joke in the market history How fundamentals and common sense do not matter at all short term but hype and grediness only that is why technical analyses has point but still I am dissapointedThis paper should valued like 100200USD if this would have the same hype as others not even 204050USD which could be relatively correct
JJNotes,,2019-05-24 10:37:00,9.79,CLDR under 10 Im back in
WolfCola,,2019-05-24 10:32:00,9.785,CLDR bahahah nitahHzhsbs not trying to jinx this I only like to keep the conversation going to understand direction See you guys later Take it easy
ewheels88,,2019-05-24 10:29:00,9.788,CLDR cant see any reason for this to continue falling today but there it goes Logic went out the window yesterday idk why i thought it would return today
RDYY,False,2019-05-24 10:27:00,9.805,CLDR cant even hold that one percent up expect to add more at 95 guys
BullRace,,2019-05-24 10:20:00,9.835,CLDR httpsfinteliosouscldr Wells seems to increased their stake in CLDR recently so what is the reason they downgraded the stock after buying
donversation,,2019-05-24 10:17:00,9.858,CLDR Buy the ticket take the ride Hunter S Thompson
Newbee221,True,2019-05-24 10:17:00,9.858,CLDR And 500M cash in hand ridiculous
Newbee221,True,2019-05-24 10:17:00,9.858,CLDR this is a company with 850M in revenues
BullRace,,2019-05-24 10:14:00,9.885,CLDR Is it a good price to buy now Afraid it will drop further if ER is not good
WolfCola,,2019-05-24 09:54:00,9.88,CLDR we are expecting a low eps because of costs from the merger We can expect a push in SP if sales beat If fear has to do with aggressive expansion Hortonworks and Cloudera are well positioned and has and will have the capital to fund the expenditure The technology will hold up This IOT data mining code analyzing product monitoring is being integrated into everything and will only continue to expand The two companies now have a broader reach This was timed precisely and well executed
