Obake,,2019-02-14 15:58:00,2.635,ACRX oh we might finally breakthrough 50 MA close it
Etraderguy,,2019-02-14 11:23:00,2.58,ACRX Johnny glass would you mind making 1 post with replies and not turning acrx board today into your dear diary thanks
Momtrader17,,2019-02-14 11:22:00,2.577,NEOS very bullish with a new position at 9 of company comebackstocks MLNT NEOS ACRX
johnnyglass86,True,2019-02-14 11:22:00,2.577,ACRX in the future
johnnyglass86,,2019-02-14 11:22:00,2.577,ACRX facts are that this stock is a winner has paid me personally in the past twice over the last 24 months handsomely and will do so
johnnyglass86,,2019-02-14 11:20:00,2.57,ACRX I actually feel lesser for having this exchange yet sometimes these conflicts are necessary
johnnyglass86,,2019-02-14 11:18:00,2.579,ACRX purely observational
johnnyglass86,,2019-02-14 11:18:00,2.579,ACRX I say that with all due respect and without malice
johnnyglass86,,2019-02-14 11:18:00,2.579,ACRX it just seems contrived and clearly comes from a place depreciate lonesomeness
anonymous111,,2019-02-14 11:17:00,2.579,ACRX motel R8 I asked him at least 8 times for solid info links resources for what he was saying before I blocked him
DrTalbytron,,2019-02-14 11:17:00,2.579,ACRX what percent of hospitalized patients dont have IV access
InsiderForms,,2019-02-14 11:15:00,2.57,ProShare Advisors LLChas filed Form 13F for Q4 2018Opened NEW positions in ACRX ADVM ALLK AMRS APLS APTX ARGX AUTL CRNX CBAY
johnnyglass86,True,2019-02-14 11:15:00,2.57,ACRX but please produce your stats so that we can take your word for it is all
DrTalbytron,,2019-02-14 11:14:00,2.579,ACRX Med administration routesOralIntraosseousRectalIntravenousIntramuscularSubcutaneousTransdermalSublingual
johnnyglass86,,2019-02-14 11:14:00,2.579,ACRX R8plus being critical is warranted and welcome we dont need an echo chamber here Continue if you feel the need
SullaMaximusDictatorRome,,2019-02-14 11:10:00,2.562,ACRX Institutional Stock Ownership keeps going up
johnnyglass86,,2019-02-14 11:06:00,2.574,ACRX regurgitated comments picked up from cherry picking articles completely partisan to your argument mean nothing to me sir
johnnyglass86,,2019-02-14 11:04:00,2.57,ACRX but go ahead and please show me your net gains as of the last 52 weeks in BLACK not the green lol and Ill change my opinion sir
johnnyglass86,True,2019-02-14 11:03:00,2.58,ACRX the same way it crashed before approval of third trial phase two octobers past
johnnyglass86,,2019-02-14 11:02:00,2.585,ACRX and to the crash after approval means a nearly double or triple gain then dip due to weak day traderesc run out then yes
johnnyglass86,,2019-02-14 10:59:00,2.58,ACRX put your investments where your mouth is good sir
johnnyglass86,,2019-02-14 10:59:00,2.58,ACRX why would you be on this board had you not invested and lost
johnnyglass86,,2019-02-14 10:58:00,2.571,ACRX with you
johnnyglass86,,2019-02-14 10:58:00,2.571,ACRX please sir if youd like to post snap shots of investment gains blow for blow Id be more then happy to post 52 week past gains
anonymous111,,2019-02-14 10:56:00,2.575,ACRX Ive got motel R8 blocked so this is fairly entertaining can just tell how indignant and self righteous he is
R8Plus,False,2019-02-14 10:53:00,2.567,ACRX why are u upset Bc ur red and Im green Belittling me doesnt do anything for your stock Perhaps just I cant even
DrTalbytron,,2019-02-14 10:51:00,2.57,ACRX what med administration routes are there other PO and IV
johnnyglass86,True,2019-02-14 10:50:00,2.564,ACRX you may go broke sir enjoy your day ACRX
johnnyglass86,,2019-02-14 10:49:00,2.564,ACRX because all said youve not a clue in which you as speakslander on this particular realm of investment maybe get out of biotech
johnnyglass86,,2019-02-14 10:48:00,2.57,ACRX all said I wish you well hope your negativity pushes you to do better research and make profitable investments in the future
johnnyglass86,,2019-02-14 10:47:00,2.561,ACRX enjoy less then abstract obscurity and making zero capital with a terrible outlook with less then braindead takes
johnnyglass86,,2019-02-14 10:45:00,2.562,ACRX you e proved my point better then I could have ever thanks lil bud
InsiderForms,,2019-02-14 10:45:00,2.562,OXFORD ASSET MANAGEMENT LLPhas filed Form 13F for Q4 2018Opened NEW positions in AFL AES ATNI ACIA ACHC ACAD ACET ACRX ACRS
johnnyglass86,,2019-02-14 10:45:00,2.562,ACRX so youre saying its garbage after 2 or 300 percent gains So youre mentally deficient
johnnyglass86,True,2019-02-14 10:44:00,2.57,ACRX you e clearly lost a to Of money and are bitter its as clear as looking through my window at the dumpster
R8Plus,False,2019-02-14 10:43:00,2.557,ACRX well you clearly didnt apologize when I said the same thing at 55 48 375 33
johnnyglass86,,2019-02-14 10:43:00,2.557,ACRX and boogie out boss because nobody enjoys your minute man looser agenda
johnnyglass86,,2019-02-14 10:42:00,2.566,ACRX Ill be the first to apologize if you do buts its clearly not the case So why dont you tuck your tiny tail between your legs
R8Plus,False,2019-02-14 10:41:00,2.56,ACRX ask yourself if it runs maybe 315320 or it could test 14x if guidance are lowered or u got 255260 head scratcher
johnnyglass86,,2019-02-14 10:40:00,2.55,ACRX Id love some proof I doubt Murller hold find that
johnnyglass86,True,2019-02-14 10:40:00,2.55,ACRX hey motel R8plus you obvs have no dog in the fight right Do you even have capital to invest Lo ACRX
R8Plus,False,2019-02-14 10:34:00,2.559,ACRX
johnnyglass86,True,2019-02-14 10:11:00,2.55,ACRX something big on the horizon gonna be a feeding frenzy shortly
SullaMaximusDictatorRome,,2019-02-14 10:04:00,2.542,ACRX ART Advisors LLC just added 68073 has filed Form 13F
InsiderForms,,2019-02-14 09:44:00,2.55,BOOTHBAY FUND MANAGEMENT LLChas filed Form 13F for Q4 2018Opened NEW positions in ARC CH ARAY ACRX ADRO AEZS AGEN AKBA AKTS
Afalcons,True,2019-02-14 09:41:00,2.558,ACRX Groundhog day Pushing around pennies
