sully101,True,2019-02-14 15:57:00,0.9991,BIOC added10k total
TigerOfChicago,,2019-02-14 14:59:00,0.9996,BIOC when they did offering u think many stop loss occurred
Jasonbush,,2019-02-14 14:58:00,0.9999,BIOC if it drops below 1 stop losses should be triggered I bet it goes to 090
TigerOfChicago,,2019-02-14 14:58:00,0.9999,BIOC it better be great news next because once it goes up many at holding above 2 a share will probably bail and share price will drop
TigerOfChicago,,2019-02-14 14:57:00,0.9995,BIOC now whats next A buy out or another partner agreement
jpd555,,2019-02-14 14:56:00,0.9996,BIOC may come 5 more waiting for floor
TigerOfChicago,,2019-02-14 14:56:00,0.9996,BIOC this was the news that made me buy this streetinsidercomdrnewsp
TigerOfChicago,,2019-02-14 14:54:00,0.9996,BIOC sad to see a liquid biopsy benefitToHumanity stock at 99 a share
LoOseMoNeY,True,2019-02-14 14:51:00,0.9995,BIOC They can borrow more shares try to push it down but if it doesnt go down what happens More interest on interest
LoOseMoNeY,True,2019-02-14 14:49:00,0.9978,BIOC Bears are all over the place because its not a game anymore money is money the longer it sits the worse it is
LoOseMoNeY,True,2019-02-14 14:45:00,0.9989,BIOC Amazing with such big dumps its barely giving up inches what gives
Albertjpn,,2019-02-14 14:39:00,0.9996,BIOC Teddy bears are all over the place today
Black_Dragon,,2019-02-14 14:39:00,0.9996,BIOC every day red
mrWOOOO,,2019-02-14 14:39:00,0.9996,BIOC powerhour could be hype
crazedpoetbull,True,2019-02-14 14:34:00,0.9955,BIOC volume indicators are good
Albertjpn,True,2019-02-14 14:30:00,0.9951,BIOC WE are under 1 time to load up
crazedpoetbull,True,2019-02-14 14:30:00,0.9951,BIOC discount day
FriendlyOldJoe,False,2019-02-14 14:27:00,0.9952,BIOC Goodbye NASDAQ Soon
Slingshot,,2019-02-14 14:09:00,1.006,BIOC why is it sucking today 385
Black_Dragon,True,2019-02-14 14:09:00,1.006,BIOC is not normal only down
am4ture,True,2019-02-14 14:07:00,1.006,BIOC Almost 1mil volume today so far Thats huge and kind of confirms my theory They are still selling
Axanor91,,2019-02-14 14:00:00,0.9987,BIOC dropped below 1things are lookin grim for the bulls
poolman99,,2019-02-14 13:56:00,0.9964,BIOC also check EYEN SPWR Sold RWLK and added more to EYEN
mrWOOOO,,2019-02-14 13:55:00,1,BIOC sub 1 rip
mrWOOOO,,2019-02-14 13:55:00,1,BIOC uh oh
Guti,,2019-02-14 13:51:00,1,BIOC mcballs you probably already know this but for those who dont there is great benefit of their technology irbioceptcomnewsrelease
am4ture,True,2019-02-14 13:48:00,1.005,BIOC Why not fallen below 1 Cause they slowly sell the shares around vwap line Once buyers push it up they sell more hence not moving
LoOseMoNeY,True,2019-02-14 13:48:00,1.005,BIOC Jealous of the loading Soon enough
mcballs,,2019-02-14 13:44:00,1.001,BIOC can you tell us for what reason it can jump is it because you posted it Am from Missouri please show me Yes they have good technology
am4ture,True,2019-02-14 13:42:00,1,BIOC In the filing it says the offering will be closed on or ABOUT Feb 12 I believe its not closed yet Once its over this can jump
mcballs,,2019-02-14 13:42:00,1,BIOC so sad the damage this CEO has done is amazing now you cant even break a 103 how sad thanks Nall great job for 12 million dollars
crazedpoetbull,True,2019-02-14 13:39:00,1.02,BIOC Potential Buyout by TMO
STOCKLORD23,True,2019-02-14 13:36:00,1.02,SOLO EYES ON BIOC
STOCKLORD23,,2019-02-14 13:31:00,1.018,SOLO LOAD UP WHALES BIOC
STOCKLORD23,True,2019-02-14 13:31:00,1.018,SOLO BIOC LETS DO THE SAME
mrWOOOO,,2019-02-14 13:24:00,1.013,BIOC cann we pleeeasse just switch this 102 with some 120
Black_Dragon,True,2019-02-14 13:16:00,1.015,BIOC the ceo is stuoid
Black_Dragon,True,2019-02-14 13:16:00,1.015,BIOC makes not sense
pierregoovaerts,True,2019-02-14 13:14:00,1.018,BIOC so if I get it right someone anonymous bought a bunch of shares for 220 two weeks ago followed by an offering at 120 Makes sense
am4ture,True,2019-02-14 13:08:00,1.02,BIOC They have not filed the offering closing yet Is it still in progress If so it answers why the price is kept around VWAP
Guti,,2019-02-14 12:55:00,1.013,BIOC so the question is are they not planning an annual meeting since they filed they will be utilizing that exemption
Guti,,2019-02-14 12:51:00,1.017,TigerOfChicago BIOC I think he was confused the conversation is preparing Golden Parachute Payments for merger appraisaleconomicscomever
mrWOOOO,,2019-02-14 12:43:00,1.016,BIOC so if this thing is getting a golden parachute doesnt that mean theyre bankrupt
Mcgupity70,True,2019-02-14 12:41:00,1.017,BIOC Accumulation day Alright by me
Oryegrg12,,2019-02-14 12:39:00,1.018,BIOC doubbled down
edmcaffrey,True,2019-02-14 12:37:00,1.017,BIOC thats for sure there are a whole lot of bears here and its at a standstill This could run hard If it falls a bit be patient
Guti,,2019-02-14 12:35:00,1.011,BIOC they will be taking the exemption on a needed vote for golden parachute payments maybe due to a merger why announce the intentions
movingfast77,True,2019-02-14 12:28:00,1.012,BIOC MANY PEOPLE THAT BUY AND HOLD WILL BE MAKING A LOT OF PEOPLE THAT GET IMPATIENT WILL CRY AND LOSE BE PATIENT BIG GAINS COMING
LoOseMoNeY,True,2019-02-14 12:20:00,1.022,BIOC Im not paying interest on my shares so this sideways gig doesnt bother me it excites me
mrWOOOO,,2019-02-14 12:13:00,1.02,BIOC This how i feel bears be
TigerOfChicago,,2019-02-14 12:03:00,1.012,BIOC one of the worst days in my life
TigerOfChicago,False,2019-02-14 12:00:00,1.016,BIOC Im out lost 5k this sucks
edmcaffrey,True,2019-02-14 11:59:00,1.011,BIOC fixing to run can you see the bubbles
LoOseMoNeY,True,2019-02-14 11:58:00,1.011,BIOC This isnt a drug its a damn biopsy It works its cleaner more effective precise than traditional biopsyIts taking over
STOCKLORD23,True,2019-02-14 11:54:00,1.011,BIOC SPIKEEE
snack_man,True,2019-02-14 11:53:00,1.018,BIOC yea but theres potential here thats building Negativity here is sincerely wrong And sincerity is no gaurantee for truth
mcballs,,2019-02-14 11:46:00,1.013,BIOC CEO Pillager of companies 7 years as CEO 12 million paid 3 reverse splits stock down 99 sales down 37 facts are facts10k now 1
mrWOOOO,,2019-02-14 11:45:00,1.011,BIOC WE NEED MORE VOLUME
aymenhs,True,2019-02-14 11:44:00,1.016,BIOC Best Investment Opposing Cancer a company with real potential just buy believe on it study your lessons
mrWOOOO,,2019-02-14 11:41:00,1.014,BIOC its looking dangerous imo
mrWOOOO,,2019-02-14 11:31:00,1.012,soBIOC will YOU be my valentine 3
pierregoovaerts,True,2019-02-14 11:16:00,1.02,BIOC Trade ratio is 188 have been above 1 all week Ready to run sitting on 70K shares now
TodayStockAlerts,False,2019-02-14 11:15:00,1.015,PHUN MBOT BIOC not safe for work
ChartMill,,2019-02-14 11:12:00,1.02,BIOC has a Current Ratio of 262 so it is financially healthy and has no problem in meeting its obligations chartmillcomanalyzephpu
LoOseMoNeY,True,2019-02-14 11:08:00,1.013,BIOC Believe this bear bullshit if you want just dont come trying to join the band when the TMO chants get deafening
STOCKLORD23,True,2019-02-14 11:05:00,1.018,BIOC
LoOseMoNeY,True,2019-02-14 11:04:00,1.02,BIOC mcballs Wants to talk about the past 20 YTD even after the shit kicking on the offering a week ago Yeah maybe a buyout TMO
STOCKLORD23,True,2019-02-14 11:04:00,1.02,BIOC WAKE UP LA
LoOseMoNeY,True,2019-02-14 11:01:00,1.019,BIOC Buy back those shares you borrowed
LoOseMoNeY,True,2019-02-14 11:01:00,1.019,BIOC As the interest compounds the louder the Squeals for help sound
STOCKLORD23,True,2019-02-14 10:50:00,1.006,BIOC 2 by today
STOCKLORD23,True,2019-02-14 10:49:00,1.003,BIOC Lets run this up boys
mcballs,,2019-02-14 10:44:00,1.012,BIOC we will only go down look at the history 99 down not a good investment but who know maybe a buyout 710 dollars or 52 week high lol
mcballs,,2019-02-14 10:42:00,1.004,BIOC Zachs has been posting that crap for 6 years look where we are CEO is the issue at 13 million I expect 10 dollars not 1 boycottceo
Highlands40205,,2019-02-14 10:38:00,1.01,BIOC Someone posted this yesterdayzackscomstocknews354244
mcballs,,2019-02-14 10:36:00,1.008,BIOC ceo makes 13 million a year the value of BIOC is 8 million a CEO of a 200 million company makes 350400k do the math get a new ceo
jakeroman23,True,2019-02-14 10:35:00,1.009,BIOC HERE COMES THE BOOOM
mcballs,,2019-02-14 10:33:00,1,BIOC stocktwitscommcballsmess
BdGtradeR,,2019-02-14 10:32:00,1.002,BIOC i would like to add cheap shares 35K
mrWOOOO,,2019-02-14 10:27:00,1.003,BIOC why are these phat orders at 1 not eating everything in their path
Guti,,2019-02-14 10:23:00,1.008,BIOC this is my take on what has transpired with this company since the beginning of 2018 it seems as if theyve been preparing it for MA
JohnDoe1911,True,2019-02-14 10:21:00,1.001,BIOC accumulate and wait
LoOseMoNeY,True,2019-02-14 10:19:00,1.008,BIOC If I cant fill a bid at 1 Ill have to slap at 101 first time since Friday lets go
Guti,,2019-02-14 10:18:00,1.008,BIOC it is actually setting an upside above 1
LoOseMoNeY,True,2019-02-14 10:17:00,1.008,BIOC mcballs Has been posting the same worthless crap since November Has to be short Who else posts such worthless crap over over
Axanor91,,2019-02-14 10:16:00,1.005,BIOC volume low today might dip below 1
ShortSqueezedVIP,True,2019-02-14 10:06:00,1.001,BIOC bottom buying alert whales are loading wait for 13G
3rdBass,,2019-02-14 10:05:00,1.002,BIOC yep they ktov ed this one greedy batds
movingfast77,True,2019-02-14 10:03:00,1.008,BIOC mcballs is just another crybaby loser he lost blames the company for his shitty trading skills buying today WILL SEE HUGE GAINS
LoOseMoNeY,True,2019-02-14 10:02:00,1.002,BIOC Interesting action around the 1 mark bid keeps coming back
mcballs,,2019-02-14 09:57:00,1.013,BIOC get the grease Nall his screwing your azz for years now only loves is in his pockets must maintain a dollar only side is down no news
TxWx,,2019-02-14 09:54:00,1.007,BIOC show some love on valentines day
movingfast77,,2019-02-14 09:53:00,1.003,BIOC 120000 bids back at 1
movingfast77,True,2019-02-14 09:50:00,1.016,BIOC and MBOT but BIOC has a much higher potential percentage gain potential 2001000 gains soon IF YOU DONT OWN BIOC UR MISSING
mcballs,,2019-02-14 09:50:00,1.016,BIOC Nall caused a massacre here he killed any hopes of moving up only saving news is buyout earnings surprise I doubt it any of them
movingfast77,True,2019-02-14 09:48:00,1.014,BIOC times To burn the SHORTS
movingfast77,True,2019-02-14 09:48:00,1.014,BIOC IBTHINK ITS READY TO RUN TODAY
movingfast77,,2019-02-14 09:44:00,1.02,BIOC 110000 on the bid
ayayron,,2019-02-14 09:44:00,1.02,BIOC got 1k shares 1 thanks
mrWOOOO,,2019-02-14 09:41:00,1.015,BIOC over 100k at 1
LoOseMoNeY,True,2019-02-14 09:41:00,1.015,BIOC Asking to be slapped
LoOseMoNeY,True,2019-02-14 09:40:00,1.009,BIOC Would seem a message was just sent to the wall attempt at 101 Love it
mrWOOOO,,2019-02-14 09:39:00,1.004,BIOC massive orders at 1
LoOseMoNeY,True,2019-02-14 09:38:00,1.01,BIOC Some larger chunk buys at open nice work whoever picked this up
Topthehill,True,2019-02-14 09:34:00,1.012,BIOC
