FDACommissioner,True,2019-02-19 15:56:00,2.407,XXII Im bringing it down so I can load up even more
Nickalus,,2019-02-19 10:18:00,2.525,XXII No it not that they think Henry will get fired tutes dont buy for that reason
Congostockchat,,2019-02-19 10:14:00,2.525,My 1 hold NETE On fire 2hold JD on fire XXII you are NEXT
StonedHedge2,,2019-02-19 10:09:00,2.524,XXII like Henry getting fired
Nickalus,True,2019-02-19 10:04:00,2.515,XXII because they think that things will be coming to light that will alter this companies future in a major positive way
Nickalus,True,2019-02-19 10:03:00,2.511,XXII We have 2 tutes with over 8M shares and now are at 112 tutes over all 2 new highs for the stock The tutes are buying for 1 reason
Nickalus,True,2019-02-19 10:02:00,2.515,XXII The PMTA and the MRTP are first unless there is some kind of deal with medical marijuana that shows up first then product launch
Nickalus,,2019-02-19 10:01:00,2.515,XXII Everyone just relax get off the idea that this stock is going just keep going up and up number of things have to happen first
honcho_juice,,2019-02-19 09:57:00,2.501,XXII oh cmon do something you dead stick
KimB_TRist,True,2019-02-19 09:39:00,2.545,XXII investorplacecom2019022
redmaiden___,True,2019-02-19 09:34:00,2.549,XXII while this along wont get me to retirement this takes off it can get me the scratch to make the moves I need to reach it Lets go
Westy4,True,2019-02-19 09:33:00,2.547,XXII on its way to collartown
