Flyfishingstocks,True,2019-02-12 15:57:00,17.657,AMRN gap up tomorrow
MiAnoos_Izbroken,True,2019-02-12 11:44:00,17.555,AMRN New name for day of week Easy Moneys Tuesday 10 of last 12 green Today make 11 out 13 greens I like
biffermeister,,2019-02-12 11:42:00,17.57,AMRN time for a song suits the day youtubecomwatchvs5BJXwN
Ucfknight02,,2019-02-12 11:40:00,17.632,AMRN take me higher you take me higher
traderxyz,,2019-02-12 11:40:00,17.632,AMRN touch resistant 1765
Thump604,True,2019-02-12 11:39:00,17.645,AMRN Patience paays
ians,True,2019-02-12 11:37:00,17.648,AMRN Will continue running to sNDA filing Seems FDA will remain open w govt shutdown averted Wonder if V will get priority review
streetlightmanifesto,True,2019-02-12 11:35:00,17.593,AMRN my 20 calls looking good
cybercash28,,2019-02-12 11:35:00,17.593,AMRN looking good IBB XBI LABU UBIO Goos BO potentials
Davinci_34,,2019-02-12 11:33:00,17.61,AMRN Somethings cooking 1750 was a strong resistance broken easilybut volume is low
BaaBaa45,True,2019-02-12 11:32:00,17.6,AMRN 1750 a number Ive seen few times over last couple of months We going to stay above Baker Bros file todaytom should be intg
dixiebull,,2019-02-12 11:31:00,17.561,AMRN room to 18 now not in this one but the team got in at 17 Tight stop if you are getting in now
ONCEINALIFETIME,True,2019-02-12 11:30:00,17.58,AMRN sweet action today Lets see some big volume this afternoon
FlamingBladeOfVictory,True,2019-02-12 11:29:00,17.552,AMRN 18 coming soon get on board cheap while you still can Share price explosion around the corner Wait and youll be too late
dixiebull,,2019-02-12 11:28:00,17.54,AMRN breaks 1750 finally
VascepaBID,,2019-02-12 11:22:00,17.465,AMRN Obesity patent tells me we will be seeing advertisements saying Although not intended for weightloss patients may lose weight on V
gofolks,True,2019-02-12 11:15:00,17.372,AMRN ok I think I have it worked out Here is how it will go
NJMMike,,2019-02-12 11:14:00,17.386,AMRN bout to roll over 1740 has been rejected multiple times
aygabtu,,2019-02-12 11:06:00,17.384,AMRN based on open interest this Friday it will close around 17 Right now they may sucking in more premium money before they drop it
no1patfan,True,2019-02-12 11:05:00,17.364,AMRN KTOS Serious momo
FrankMcGill,,2019-02-12 10:57:00,17.366,AMRN btw I am more neutral as this moment in the short term the trend is bullish just a couple of bumps along the way
FrankMcGill,,2019-02-12 10:56:00,17.346,AMRN I think we saw the HOD of 1748 needs to break 1750 with conviction as I said
Davinci_34,,2019-02-12 10:54:00,17.322,AMRN FrankMcGill Bullish
Ski25,True,2019-02-12 10:53:00,17.37,AMRN think this is a continuation of price increase based on acceleration in new prescriptions Very
Scarey2018,,2019-02-12 10:50:00,17.393,AMRN Anyone have a prediction for HOD
PghKid1,,2019-02-12 10:47:00,17.448,AMRN bipolar disorder FRANK
ivosplash,True,2019-02-12 10:41:00,17.479,AMRN SGMO VKTX Rocking today
FrankMcGill,True,2019-02-12 10:40:00,17.469,AMRN OH NO NOT JTs BO whats the latest rumor
shailen6891,True,2019-02-12 10:39:00,17.5,AMRN BO rumor turning into reality soon This is gonna explode
FrankMcGill,,2019-02-12 10:38:00,17.46,AMRN if a big buy order came in right now this will never look back but I feel that its stalling
gofolks,True,2019-02-12 10:37:00,17.407,AMRN is there another PFE BO rumor I notice PFE is about the only thing down today
dixiebull,,2019-02-12 10:37:00,17.407,AMRN sweet entry at 17 keep it climbing
FrankMcGill,True,2019-02-12 10:35:00,17.461,AMRN the true test is 1750 this is going to explode
PghKid1,True,2019-02-12 10:34:00,17.457,AMRN
VascepaBID,,2019-02-12 10:32:00,17.415,AMRN Wow what did I miss This thing is rocking today
BaaBaa45,True,2019-02-12 10:32:00,17.415,AMRN I stay clear of optionsthe road to financial damnation I do know around the third Friday every month strange things happen to SP
JTbigfishdream,False,2019-02-12 10:31:00,17.412,AMRN Remember folks how this goes up and then comes right back down in the same day Shorts and MM still in control here Im afraid
ivanhoff,,2019-02-12 10:31:00,17.412,AMRN is starting to perk up after a few weeks of tight range contraction Relative strength of 99 MarketSmith
Novo1,,2019-02-12 10:30:00,17.408,AMRN 15 mil aftr 1 hr not bad not great above avg
FrankMcGill,True,2019-02-12 10:30:00,17.408,AMRN this is organic growth at its best BP is going to pay for this type of growth WELCOME
sal59,,2019-02-12 10:29:00,17.345,AMRN 21 by Friday Buy this week 19 call for current ask 14 cents and u got a 15 bagger No knowledge just pump time
biffermeister,,2019-02-12 10:26:00,17.31,AMRN 300k initiative buy over 5 min gave it a nice bump
Fmitty,True,2019-02-12 10:25:00,17.32,AMRN 18
JTbigfishdream,False,2019-02-12 10:24:00,17.295,AMRN Lets not get to ahead of ourselves folks This is still being controlled by shorts and MM Enjoy the short temporary run
NJKnight92,True,2019-02-12 10:24:00,17.295,AMRN blew through 17
ONCEINALIFETIME,True,2019-02-12 10:18:00,17.314,AMRN would really like to see it back above the share offering price to confirm new momentum
biffermeister,,2019-02-12 10:16:00,17.22,AMRN might love you long long time
PghKid1,,2019-02-12 10:14:00,17.174,AMRN over a million traded
Pordoy,True,2019-02-12 10:10:00,17.264,AMRN BO breakout not buyout that 1710 wall so hard to break Lets go
PghKid1,True,2019-02-12 10:10:00,17.264,AMRN shes moving now
longtermopportunity,True,2019-02-12 10:10:00,17.264,AMRN breakout detected to 1800 Broker 1710 now 1720 will be 18 shortly
ZorTrades,,2019-02-12 10:09:00,17.215,AMRN swing of interest on the long side if and only if it can get thru ydays high MarketSmith IBDPartner
RetirednCali,True,2019-02-12 10:09:00,17.215,AMRN 1710 in the books
sincosine,True,2019-02-12 10:07:00,17.093,AMRN Bullish
Monkeyy,,2019-02-12 10:06:00,17.06,AMRN needs to break 1710
jb007,True,2019-02-12 10:03:00,16.996,AMRNJTbigfishdream please remember what he said so when u see him again is all garbage to scare u
Novo1,,2019-02-12 09:53:00,17,AMRN watch volume trading vol is higher If moire than 3Mill after 1 hour sh price increases EOD
BESKST,True,2019-02-12 09:52:00,17.02,AMRN fda scares the crap out of me as they will find any reason they can and they have the power to find any reason to block anchor scary
bambooze40,,2019-02-12 09:52:00,17.02,AMRN if ur not buying here I dont know what to tell you This has been held down long enough Technicals and fundamentals all very good
ONCEINALIFETIME,True,2019-02-12 09:49:00,17.06,AMRN
Freifaller,True,2019-02-12 09:49:00,17.06,AMRN pls move to 30 soon
C_R_E_P,True,2019-02-12 09:49:00,17.06,AMRN where is frank McGill
longtermopportunity,True,2019-02-12 09:43:00,16.92,APRN AMZN AMRN my portfolio that is up big Starts with an A and ends with an N Who needs brokers just buy this pattern GL2 ALL
Noelan09,True,2019-02-12 09:41:00,16.983,AMRN
Novo1,,2019-02-12 09:41:00,16.983,AMRN whiplash time
Novo1,,2019-02-12 09:35:00,16.89,AMRN still an opportunity BACKUPTHETRUCK
ChartMill,,2019-02-12 09:35:00,16.89,AMRN has only a medium technical rating but it does show a decent setup pattern chartmillcomanalyzephpu
PghKid1,True,2019-02-12 09:33:00,16.834,AMRN
PghKid1,,2019-02-12 09:33:00,16.834,AMRN the morning shake out
