Xisting4u,True,2019-02-08 15:57:00,1.061,BIOC Cmon go up already
LoOseMoNeY,True,2019-02-08 15:32:00,1.06,BIOC timeismoney2011 Now 3hrs later forget the RS forget sub 1 BUY BUY BUY SCUMBAG
LoOseMoNeY,True,2019-02-08 15:30:00,1.063,BIOC timeismoney2011 BUY BUY BUY SCUMBAG
BdGtradeR,,2019-02-08 15:29:00,1.064,BIOC in 102 106 65K TotalGreetings from urope enjoy your weekendGot some info from company i like
RobinhoodTraderz,,2019-02-08 15:29:00,1.064,Hot Stocks to Watch EOD DPW MARA RIOT ACET PHIIK SNNA TVIX AMPE BIOC
ChiTownMidway,,2019-02-08 15:28:00,1.065,BIOC WTF
ShortSqueezedVIP,True,2019-02-08 15:27:00,1.067,BIOC bottom reversal alert 2 Bears going deep is a sign for shorts squeezed next week mark my words
kramz2000,True,2019-02-08 15:27:00,1.067,BIOC 100 107 110 120
timeismoney2011,True,2019-02-08 15:26:00,1.072,BIOC always follow the chart and look at your level two You can make money both ways Longterm no good shortterm you can make some dough
timeismoney2011,True,2019-02-08 15:25:00,1.064,BIOC man I predicted the bounce at 100 support and switched from Short to long Now lets get to offer price Maxim group My PT 111to120
buysellbkr,,2019-02-08 15:23:00,1.045,BIOC instead of watching this turdswing over to ostk pyx cgc riot
kramz2000,True,2019-02-08 15:21:00,1.047,BIOC thx for the site guys marketscboecomusequitie
crazedpoetbull,True,2019-02-08 15:19:00,1.045,BIOC physics will play a large role now
LoOseMoNeY,True,2019-02-08 15:19:00,1.045,BIOC timeismoney2011 You switched faster than Bruce I mean Caitlin Jenner I will give you props for not double accounting it
CurtyM,,2019-02-08 15:18:00,1.042,NVCN could be worse Could have been an offering like BIOC and cut 50 of your portfolio in PM
paliotomaro,,2019-02-08 15:18:00,1.042,BIOC What benefit does a company have setting the offering price way bellow market
kramz2000,True,2019-02-08 15:17:00,1.035,BIOC watch who buys what thx guys for the great site Good repost marketscboecomusequitie
craig0827,,2019-02-08 15:15:00,1.037,BIOC why did this drop so bad
kramz2000,True,2019-02-08 15:13:00,1.035,BIOC i do however feel bad for those of you who had a vast amount at 200 and it dropped to 100 just hold I say Sell you loose
timeismoney2011,,2019-02-08 15:13:00,1.035,BIOC been doing this for a very long time most retail bears will cover around the current price to protect there profits
StockTrend,True,2019-02-08 15:13:00,1.035,In BIOC 102 lets see if it can close 105
Jasonbush,,2019-02-08 15:13:00,1.035,BIOC seriously the offer price is 120 they screwed us good
Dredgegold,,2019-02-08 15:13:00,1.035,BIOC yupme too
kramz2000,True,2019-02-08 15:12:00,1.037,BIOC I will buy if you sell 100 is a bargain in my option 3000 shares at 100 then spike to 200 on 213 ill take that anyday
timeismoney2011,True,2019-02-08 15:11:00,1.035,BIOC end of the day this companys POS however you might make it quick money if you get in now because there is a strong support at 100
LoOseMoNeY,True,2019-02-08 15:08:00,1.035,BIOC timeismoney2011 Yeah Scum because you post sub 1 RS coming bearish shaking loose the people you are warning the look now
Dredgegold,,2019-02-08 15:08:00,1.035,BIOC If you think one person posting moves a stock you shouldnt be hereAnywaysJeeez
LoOseMoNeY,True,2019-02-08 15:08:00,1.033,BIOC timeismoney2011 Yeah Scum because you post sub 1 RS coming bearish shaking loose the people you are warning the look now
Dredgegold,,2019-02-08 15:08:00,1.033,BIOC If you think one person posting moves a stock you shouldnt be hereAnywaysJeeez
Dredgegold,,2019-02-08 15:07:00,1.035,BIOC Thats making money BudOtherwise your Notlol
Dredgegold,,2019-02-08 15:07:00,1.034,BIOC Thats making money BudOtherwise your Notlol
Nasir_M,,2019-02-08 15:03:00,1.035,BIOC 75 million public offering of 63 million shares at 120 apiece
Nasir_M,,2019-02-08 15:03:00,1.034,BIOC 75 million public offering of 63 million shares at 120 apiece
taco_money,,2019-02-08 15:02:00,1.035,INPX BIOC RSLS the more watchers the more bag holders lol
LoOseMoNeY,True,2019-02-08 15:02:00,1.035,BIOC timeismoney2011 You Will block me as I stated this morning Why because I will expose your bullshit everywhere RS when 2020
LoOseMoNeY,True,2019-02-08 15:01:00,1.035,BIOC timeismoney2011 Your a scumbag accept it You just admitted to coming on boards and posting bullshit to ride the price both ways
taco_money,,2019-02-08 15:00:00,1.035,INPX and BIOC are trash like RSLS
taco_money,,2019-02-08 15:00:00,1.034,INPX and BIOC are trash like RSLS
JaycoBeatz,True,2019-02-08 14:59:00,1.035,BIOC
timeismoney2011,True,2019-02-08 14:59:00,1.035,BIOC support 101 and resistance 120 Im in for a quick spike to 111 to 115 ish Extremely over sold SL below 100 stay carefull
JaycoBeatz,True,2019-02-08 14:59:00,1.037,BIOC
timeismoney2011,True,2019-02-08 14:59:00,1.037,BIOC support 101 and resistance 120 Im in for a quick spike to 111 to 115 ish Extremely over sold SL below 100 stay carefull
HouseofJenga,True,2019-02-08 14:56:00,1.035,BIOC Will have to wait till after Feb 12 after new issuance for it to bottom and retrace back up Patience
HouseofJenga,True,2019-02-08 14:56:00,1.046,BIOC Will have to wait till after Feb 12 after new issuance for it to bottom and retrace back up Patience
bsheu,,2019-02-08 14:54:00,1.025,BIOC DPW OHGI PIR BIOC FB SNAP LODE Squeezing in power hour Move your money to MARA before it flies 100 mover
Ballinnnn,False,2019-02-08 14:53:00,1.026,BIOC they fucked us good horse dick fuck
jpd555,,2019-02-08 14:49:00,1.015,BIOC my target is still 250 it may go to 90c watch for short squeeze in next week
CurtyM,,2019-02-08 14:49:00,1.015,BIOC wow what a pos Sorry Longs and swingers Im sure it will bounce in time
MariaC82,,2019-02-08 14:42:00,1.015,Price or Vol Decliners ao235pmEST BIOC APOP MNGA CLDX PULM
MariaC82,,2019-02-08 14:42:00,1.017,Price or Vol Decliners ao235pmEST BIOC APOP MNGA CLDX PULM
jnndvn,False,2019-02-08 14:40:00,1.011,BIOC SOOOOO sorry for you guys I got out Wed but I thought the offering price was 211 Is this legal what they did Class A
flipping,True,2019-02-08 14:40:00,1.011,BIOC time to drink
jnndvn,False,2019-02-08 14:40:00,1.017,BIOC SOOOOO sorry for you guys I got out Wed but I thought the offering price was 211 Is this legal what they did Class A
flipping,True,2019-02-08 14:40:00,1.017,BIOC time to drink
TradeStockTrend,True,2019-02-08 14:34:00,1.015,BIOC small position after the secondary daily chart
TradeStockTrend,True,2019-02-08 14:34:00,1.018,BIOC small position after the secondary daily chart
HarryFly,,2019-02-08 14:33:00,1.015,BIOC
HarryFly,,2019-02-08 14:33:00,1.019,BIOC
timeismoney2011,True,2019-02-08 14:32:00,1.007,BIOC remember to never marry these stocks Dont take anything emotional make money up and down
webslinger48,,2019-02-08 14:32:00,1.007,BIOC it is like INPX all over again
timeismoney2011,True,2019-02-08 14:31:00,1.007,BIOC short term bullish for now Should get close to offer price and then short it again
LoOseMoNeY,True,2019-02-08 14:31:00,1.007,BIOC timeismoney2011 What about sub 1 and the RS
timeismoney2011,True,2019-02-08 14:31:00,1.006,BIOC short term bullish for now Should get close to offer price and then short it again
LoOseMoNeY,True,2019-02-08 14:31:00,1.006,BIOC timeismoney2011 What about sub 1 and the RS
timeismoney2011,,2019-02-08 14:30:00,1.003,BIOC just became a buyer at 101 5K shares for a technical bounce SL below 100 its good riskreward Not long Will sale at any spike
Dredgegold,,2019-02-08 14:30:00,1.003,BIOC Light piano music plays in the background
dontgethigh,,2019-02-08 14:28:00,1.018,BIOC out It hit my stop loss Entry at 107 out at 101 Will continue watch
FutureRodrigo,,2019-02-08 14:27:00,1.018,This is really really sad devastating lost over 12k terrible im about to shoot myself with a banana BIOC
FutureRodrigo,,2019-02-08 14:25:00,1.015,BIOC
Dredgegold,,2019-02-08 14:25:00,1.015,BIOC im holding Frenchie
timeismoney2011,,2019-02-08 14:24:00,1.018,BIOC closed out my short position at 101 and for now well just watch and see what happens I am prepared to short again under 1
pierregoovaerts,True,2019-02-08 14:23:00,1.017,BIOC Trade ratio is 17 Someone is accumulation cheap shares
mcballs,,2019-02-08 14:22:00,1.013,BIOC well we are all suckers and as snackman says you all have been robbed by the devil CEO should rot in hell in a pit of boiling oil
BigMov3s,,2019-02-08 14:22:00,1.013,BIOC tear here
timeismoney2011,,2019-02-08 14:22:00,1.013,BIOC it may work for a quick 10 gain
timeismoney2011,,2019-02-08 14:22:00,1.013,BIOC some folks might enter right now in the hopes of having some spike towards end of the day It may work
Jonnymiller7,True,2019-02-08 14:19:00,1.012,BIOC how low will she go
reee,False,2019-02-08 14:19:00,1.012,BIOC not here to laugh at you but click chart above go to all time was over 850 5 less than 5 years ago how many RS before you learn
StockTrend,,2019-02-08 14:18:00,1.01,BIOC is pass for now may be at the close
jpd555,,2019-02-08 14:17:00,1.025,BIOC overreaction 2 weeks it spiked to 3 from being so low
jspiegelr,True,2019-02-08 14:16:00,1.025,BIOC for the right you have to average the 2 offerings It was the same clients Average weighted is 146 It will go back to that price
runner01,,2019-02-08 14:16:00,1.025,BIOC UNFKIN BELIVABLE
csb3,,2019-02-08 14:15:00,1.03,BIOC I simply dont understand offering 95 below market value Insane undervaluation of own company Not afraid of a loss but no logic
runner01,,2019-02-08 14:15:00,1.03,BIOC WT Fuk
crachel515,True,2019-02-08 14:13:00,1.035,BIOC Big move at 330pm
timeismoney2011,False,2019-02-08 14:13:00,1.035,BIOC covered half 103
bdiv,,2019-02-08 14:13:00,1.035,BIOC seriously debating selling my whole position selling half or holding I cant tell where this is going
Black_Dragon,False,2019-02-08 14:13:00,1.035,BIOC fucking offering Next offering next week 05
bsnellg,,2019-02-08 14:11:00,1.03,BIOC what was the offering at
timeismoney2011,False,2019-02-08 14:09:00,1.031,BIOC Im done with this crap
buysellbkr,,2019-02-08 14:08:00,1.04,BIOC
reee,,2019-02-08 14:05:00,1.031,BIOC some COs never change
mcballs,,2019-02-08 14:04:00,1.035,BIOC 80 cents next week with new offering at 50 seen it before over and over he does this what a crook
mcballs,,2019-02-08 14:03:00,1.04,BIOC this will not retrace back toward two dollars without another RS its a POS run by POS Where is the lawsuit the law needs to change
GreenEnergyTrader,,2019-02-08 14:03:00,1.04,mrinvestorpro hey did you ever have a position in BIOC unfortunately I was busy all mornings and had no SLdo you have any advice
Dredgegold,,2019-02-08 13:59:00,1.042,BIOC I think im gonna print some lyrics for all to singlol
timeismoney2011,False,2019-02-08 13:59:00,1.042,BIOC buy the dip this is the bottom it has hit the bottom Seriously When will hopiums learn
AGreenspan,,2019-02-08 13:58:00,1.049,BIOC The problem with BIOC is that they have too many Michaels CEO SVP General Counsel all named Michael Whats up with that
timeismoney2011,False,2019-02-08 13:56:00,1.055,BIOC I wouldnt be too quick to call this overreaction this is a calculated move where institutional investors and CEO f over you guys
Notadec2rem,,2019-02-08 13:56:00,1.055,BIOC Yep Im a bag holder at 170
Trumpisaracistbastard,True,2019-02-08 13:55:00,1.054,BIOC In for reversal 105
lamofo,,2019-02-08 13:55:00,1.054,BIOC Got out Ill jump back in the 80s
APJFinancials,,2019-02-08 13:54:00,1.056,BIOC Potential retracement back towards 145 A drop from2 to 105 is a bit of an overreaction to the dilution news will retrace soon
timeismoney2011,False,2019-02-08 13:54:00,1.056,BIOC institutional holders sold and price is below the offering All of these are bad newsindicators for a nasty drop after offering
am4ture,True,2019-02-08 13:54:00,1.056,BIOC buy the bottom Buy the fear
coinclown,True,2019-02-08 13:53:00,1.058,BIOC Added for the reversal
P82,True,2019-02-08 13:53:00,1.058,BIOC Bears are trying to get your shares cheap dont sell
Dredgegold,,2019-02-08 13:53:00,1.058,BIOC risky buyRISKY BUY
sully101,True,2019-02-08 13:52:00,1.051,BIOC added 1k moreholding this for 150 move
P82,True,2019-02-08 13:51:00,1.054,BIOC Buying the fear
Black_Dragon,False,2019-02-08 13:51:00,1.054,BIOC range now 0405
timeismoney2011,False,2019-02-08 13:49:00,1.05,BIOC after the offering are over expected quick and bloody drop to 080 range
timeismoney2011,False,2019-02-08 13:49:00,1.051,BIOC after the offering are over expected quick and bloody drop to 080 range
timeismoney2011,False,2019-02-08 13:47:00,1.05,BIOC a lot of these institutional owners dumped and just updated their shares Will buy with them at 060 to 080 range
ShortSqueezedVIP,True,2019-02-08 13:47:00,1.05,BIOC bottom reversal alert Bears going deep is a sign for shorts squeezed next week Relax
timeismoney2011,False,2019-02-08 13:47:00,1.059,BIOC a lot of these institutional owners dumped and just updated their shares Will buy with them at 060 to 080 range
ShortSqueezedVIP,True,2019-02-08 13:47:00,1.059,BIOC bottom reversal alert Bears going deep is a sign for shorts squeezed next week Relax
cctranscripts,,2019-02-08 13:45:00,1.05,Statement of acquisition of beneficial ownership by individuals conferencecalltranscriptso BIOC
cctranscripts,,2019-02-08 13:45:00,1.056,Statement of acquisition of beneficial ownership by individuals conferencecalltranscriptso BIOC
timeismoney2011,False,2019-02-08 13:44:00,1.05,BIOC intracoastal capital dumped They only own 34 good luck
risenhoover,,2019-02-08 13:43:00,1.05,Intracoastal Capital Llc has filed an amended 13GA reporting 34 ownership in BIOC httpsfinteliosousbioc
GreenEnergyTrader,,2019-02-08 13:40:00,1.05,RGSE CLD TRVN ZKIN SYN BIOC CGIX KTOV SNGXGetting straight up shit on todayshorts having a field day
BdGtradeR,True,2019-02-08 13:39:00,1.05,BIOC it will bounce until 118 not today it will be monday
bdiv,,2019-02-08 13:38:00,1.05,BIOC will sell half of my position at 103
valuetrader232,False,2019-02-08 13:38:00,1.05,BIOC
GreenEnergyTrader,,2019-02-08 13:37:00,1.05,BIOC worst part is I was going to sell today lol
high_hopes,,2019-02-08 13:36:00,1.05,BIOC I will not sell for a loss I will hold or average down until I profit even if it takes years
timeismoney2011,False,2019-02-08 13:36:00,1.05,BIOC 50 and GARBAGE
timeismoney2011,False,2019-02-08 13:34:00,1.05,BIOC some stock bleed you slowly over time but this one just goes for the kill minus 50 down
GreenEnergyTrader,,2019-02-08 13:34:00,1.05,BIOC why did they do the offering
Black_Dragon,False,2019-02-08 13:32:00,1.05,BIOC this is big scamp
LoOseMoNeY,True,2019-02-08 13:32:00,1.05,BIOC Oh look the first 13G didnt even take a day timeismoney2011 Clown
Dkarma,,2019-02-08 13:32:00,1.05,SGMO feeling bad Check out BIOC
timeismoney2011,False,2019-02-08 13:32:00,1.05,BIOC so embarrassing Arrest all of them crooks
timeismoney2011,False,2019-02-08 13:32:00,1.05,BIOC lol
the_kuneho,,2019-02-08 13:30:00,1.05,BIOC wow
GreenEnergyTrader,True,2019-02-08 13:30:00,1.05,BIOC how long before this is over 2 again
livetraderalerts,,2019-02-08 13:28:00,1.052,BIOC 20m ago SEC Amended Beneficial Ownership Report SC 13GA BIOCEPT INC secgovArchivesedgardata
Dredgegold,,2019-02-08 13:28:00,1.052,BIOC careful what you wish for folkshahaha
PUTTINONRITZ,,2019-02-08 13:27:00,1.053,BIOC then well all sue the sob co take their patents sell to MRK GSXLLY bring it mf bring itlets see 80c do it help my suit
PUTTINONRITZ,,2019-02-08 13:26:00,1.055,BIOC lol wait for 80c ok chart sz below 91 everyone f so take it there lets see all those below 50c sell f out this pos genius
timeismoney2011,False,2019-02-08 13:25:00,1.051,BIOC the right price is 060 to 080 range period
NeedGains,,2019-02-08 13:25:00,1.051,BIOC Offering at 120 so wait for 80s firfor bottom Current price still too high at 105
timeismoney2011,False,2019-02-08 13:25:00,1.051,BIOC come on common Sense guys
PUTTINONRITZ,,2019-02-08 13:24:00,1.052,BIOC in between these two offers jan 1628 sabby mgt short seller bought into co nearly 6 been short selling since so tell us shorts wtf
timeismoney2011,False,2019-02-08 13:24:00,1.052,BIOC oh 105 is the bottom This is the bottom
BdGtradeR,,2019-02-08 13:24:00,1.052,BIOC try to get 20K lower here total 65k
bdiv,,2019-02-08 13:23:00,1.055,BIOC If I buy it will tank if I sell it will jump What am I to do
PUTTINONRITZ,,2019-02-08 13:23:00,1.055,BIOC last offer ceo stock ran 378 tank 160 stk ran 253 thurs ceo offer 120 stk tanks 106 or So fill us in shorts bkr or bo
timeismoney2011,False,2019-02-08 13:23:00,1.055,BIOC 106 105 104 103 102 101 100 099 098 097060 absolutely garbage
BigBooty949,,2019-02-08 13:23:00,1.055,BIOC give them a piece of your mind bioceptcomcontact
PUTTINONRITZ,,2019-02-08 13:20:00,1.061,BIOC co either selling or bankrupt so which is it short sellers let rest of us know you know so damn much which is it
LoOseMoNeY,True,2019-02-08 13:20:00,1.061,BIOC Lets See where all the bearish maggots are next week Posting bullish from another account Its all here to see
PUTTINONRITZ,,2019-02-08 13:19:00,1.065,BIOC of 63 million shares at 120 apiece representing a 409 discount to Thurs closing price for its stock THIS IS CALLED SCREW SHs
Dredgegold,,2019-02-08 13:18:00,1.07,BIOC wouldscoulda Shouldabeen their
PUTTINONRITZ,,2019-02-08 13:18:00,1.07,BIOC Biocept BIOC tumbled 47 after the liquid biopsy company solutions earlier Friday priced a 75 million public offering 1
Ballinnnn,True,2019-02-08 13:18:00,1.07,BIOC second offerings usually come after the first just saying took my losses to ACB at least those companies are steady ish er
lamofo,,2019-02-08 13:14:00,1.072,BIOC no bounce eh
Tzrstar7,,2019-02-08 13:14:00,1.072,BIOC Sad A lot of us trapped for what would have been a great run today
je_mange_des_patates,True,2019-02-08 13:09:00,1.077,BIOC they will success their dilution many time Congrats to management
lecorb,,2019-02-08 13:07:00,1.077,Midday movers shakers httpsseekingalphacomnews3431417sourceansh EGAN COTY MAT SNMP FET ACET OMCL COLM TOO SKX MNGA BIOC APOP PULM HSIC CSS VCRA
mcballs,,2019-02-08 13:06:00,1.072,BIOC look at the history Do your own dd 6 years multiple RSs stock offerings always at a 4050 percent discount CEO POS Crooks at helm
Economist4401,,2019-02-08 13:05:00,1.078,The SEC must make rules to protect Shareholders from companies such as BIOC the board is directly responsible for protecting shareholders
sully101,True,2019-02-08 13:05:00,1.078,BIOC ARLO GEVOStrong buy
zuber,False,2019-02-08 13:04:00,1.07,BIOC 1 Billion per stock in September Do your own research dont listen to others
BdGtradeR,True,2019-02-08 12:57:00,1.086,BIOC i want shares 107
timeismoney2011,False,2019-02-08 12:57:00,1.086,BIOC whats the worst case scenario that could happen Below 1 then reverse and split or just bankrupt Seen it all
LSousa76,True,2019-02-08 12:56:00,1.082,BIOC CHECKING 30 MINUTES FRAMEgetting read to pump after lunch
StockGains123,,2019-02-08 12:56:00,1.082,BIOC Theres always so many experts that come here once a stock drops
ShortSqueezedVIP,True,2019-02-08 12:54:00,1.075,BIOC bottom buying alert 11 Safe buying zone when Bears are chasing hard Shaking out fear will see Rinse Repeat Stay PAYtient
HarryFly,,2019-02-08 12:54:00,1.075,BIOC
jackmoss,True,2019-02-08 12:54:00,1.075,BIOC buying hard LT awesome price
LoOseMoNeY,True,2019-02-08 12:53:00,1.077,BIOC What happened to the sub 1 seems the wrecking crew stalled at 107Hurry up now I have shit to do
StockGains123,,2019-02-08 12:53:00,1.077,BIOC Imo 46 by September Weak hands will sell
Nationalism94,,2019-02-08 12:51:00,1.08,BIOC Have a feeling bottom in 91
am4ture,True,2019-02-08 12:51:00,1.08,BIOC Added 1000 more This is the bottom guys Im holding for long term
taco_money,,2019-02-08 12:50:00,1.078,BIOC turd just like RSLS lol
MinkWinsor,,2019-02-08 12:48:00,1.075,BIOC Id love to say I learned my lesson but really not much to learn company just screwed stockholders
am4ture,True,2019-02-08 12:47:00,1.078,BIOC added more shares
jshall1986,,2019-02-08 12:46:00,1.077,BIOC
avio,,2019-02-08 12:41:00,1.09,BIOC o my god SABBY here another stock dead
Dredgegold,,2019-02-08 12:36:00,1.085,BIOC anyone buying
StockTrend,True,2019-02-08 12:36:00,1.085,BIOC 120 offering and its trading at 108 closing on feb 12th Buying it 105 range
BdGtradeR,,2019-02-08 12:34:00,1.085,BIOC what is the restricted shares will be fixedAlso yesterday 33 float is short Today it will be 45 so
Albertjpn,,2019-02-08 12:34:00,1.085,BIOC CHECK your level 2 it will tell you where we are at the moment
MarkLChelsford,False,2019-02-08 12:33:00,1.084,BIOC today 6am told u dump bioc hard 50 Dump the AMRS pump yes buy DPW 30 3 for 3 today 5 figures Friday Austin I Lovee me
TigerOfChicago,,2019-02-08 12:32:00,1.079,BIOC does Sabby own some of this anyone knows
TigerOfChicago,,2019-02-08 12:32:00,1.079,BIOC u guys think it will be back up to 2 a share or more
TigerOfChicago,,2019-02-08 12:31:00,1.078,BIOC whats going on
bosco350,True,2019-02-08 12:29:00,1.08,BIOC This stock is like the roulette table 35 to 1 or nothing
PUTTINONRITZ,,2019-02-08 12:28:00,1.077,BIOC all better hope buyout of this pos going to woodshed no options co so short sickening at your exp so hold c or feed coshorts gl
Albertjpn,,2019-02-08 12:26:00,1.077,BIOC 35k shares limit buy 107
kramz2000,True,2019-02-08 12:23:00,1.072,BIOC does anyone have a link to see how much of this is purchased daily
MarkLChelsford,True,2019-02-08 12:23:00,1.072,DPW AMRS BIOC told u at 6am today Dump amrs at top down nice Dump bioc down 50 Buy dpw up 30 Tofau already up 5figs Now more
chiorox,,2019-02-08 12:23:00,1.072,BIOC Adding at TRVN today for afternoon run
chiorox,,2019-02-08 12:21:00,1.077,BIOC 47 down is brutal but you know what they say buy low sell high Could be a great opportunity
PUTTINONRITZ,,2019-02-08 12:20:00,1.076,BIOC here best advise HOLD dont sell ur shares short sellers chart is broken under 195 so hold ur shares make sobs payup 20PS markit
TEK__,True,2019-02-08 12:20:00,1.076,BIOC Im not big on these stocks but news and volume continues to look good
Oshaberi_owarida,,2019-02-08 12:20:00,1.076,BIOC Glad i didnt get at 170 now
Sk00baSteVe,,2019-02-08 12:20:00,1.076,BIOC welp just averaged down from 222 to 132now I wait
timeismoney2011,False,2019-02-08 12:18:00,1.079,BIOC most of the bears did warn you to be fair
NeedGains,,2019-02-08 12:18:00,1.079,BIOC et me know when it hits bottom I want to buy at the absolute best price for maximum gains
Black_Dragon,False,2019-02-08 12:17:00,1.075,BIOC next offering 050 why not
PUTTINONRITZ,,2019-02-08 12:16:00,1.071,BIOC lol 99 ppl on this board today setup st accts trolls ppl short seller buddies sabby goons just waiting moment facerip no mercy
movingfast77,True,2019-02-08 12:16:00,1.071,BIOC MORE DEALS BIGGER STEPS BEING TAKEN TO INCREASE ADOPTION OF LIQUID BIOPSY THROUGHOUT THE WORLDHAS DEALS AND PATENTS IN MANY COUNTRIES
humour,False,2019-02-08 12:14:00,1.075,PULM BIOC I love to see how bagholders are being diluted Know what you invest in
Kathrodgz,,2019-02-08 12:12:00,1.08,BIOC what is the best thing to do Help
BdGtradeR,True,2019-02-08 12:12:00,1.08,BIOC i try to get 50K here at 107Greetings from Belgium
stocksHunterUS,,2019-02-08 12:12:00,1.08,Recap Feb 8 19by stockshunterusEGAN COTY MAT TSI XXII TOO FET SKX ARWR MSI MNGA BIOC APOP PULM LEO HSIC HSGX
crazedpoetbull,True,2019-02-08 12:12:00,1.08,BIOC The Company provided an offering so they can raise capitalLiquid biopsys is vital in the steps to treathelp fight CancerGrowing
RidnThaWave,,2019-02-08 12:12:00,1.08,BIOC This shouldnt be a surprise to anyone Hope you guys got out FAST
PUTTINONRITZ,,2019-02-08 12:11:00,1.083,BIOC look ceo salary sob he needs be fired board already has ear full on this offering yepceo will get fired markit best for stk shs gl
PUTTINONRITZ,,2019-02-08 12:11:00,1.083,BIOC fidel bought it for etf this week too yes i know most abv 2 3 in here holding they know this is still bs for shs fire ceo plus
PUTTINONRITZ,,2019-02-08 12:10:00,1.08,BIOC i get co needs money but ceo method sell shares short get him i dont think so majority ppl havent sold this only daytraders lol
sully101,True,2019-02-08 12:09:00,1.084,BIOC boom soon
PUTTINONRITZ,,2019-02-08 12:09:00,1.084,BIOC ceo one dumb mducker all i can say who puts out offering lower than stk price everytime stock pops this ass puts out lower offer wtf
kramz2000,True,2019-02-08 12:09:00,1.084,BIOC offering until February 12th After expect it to move
crazedpoetbull,True,2019-02-08 12:08:00,1.08,BIOC httpswwwgooglecomampsnysenewstodaycom20190208stockinthenewslimelightbioceptincnasdaqbiocamp
swati2,True,2019-02-08 12:08:00,1.08,BIOC why so many offerings Overreaction
NasdaqPoppinTagsyeahhh96,,2019-02-08 12:08:00,1.08,MNGA will get eps down should be as attractive to new investors First of the year I let go of BIOC and LMFA before a popkeep holding on
BigBooty949,,2019-02-08 12:07:00,1.085,BIOC 46 loss what a waste of a week never holding overnight again ever
Sk00baSteVe,,2019-02-08 12:02:00,1.081,BIOC So I guess averaging down from 222 to 132 might be a good idea here
ChartMill,,2019-02-08 12:01:00,1.083,BIOC has an average volume of 2533850 This is a good sign as it is always nice to have a liquid stock chartmillcomanalyzephpu
Dredgegold,,2019-02-08 12:00:00,1.081,BIOC Looks like all were loading up last night and Pre
Albertjpn,False,2019-02-08 12:00:00,1.081,BIOC wonder what happened here it was looking good yesterday and today was flat out like your GFs chest
MariaC82,,2019-02-08 11:59:00,1.088,Price or Vol Decliners ao1147amEST MNGA APOP BIOC PULM HSIC
Black_Dragon,False,2019-02-08 11:58:00,1.086,BIOC next offering 050
pfb,,2019-02-08 11:57:00,1.085,BIOC such trash still holding from three POs ago my average price is 7016 Just when you think the bottom has hit it drops
timeismoney2011,False,2019-02-08 11:57:00,1.085,BIOC just wow Here comes more dumping at lunch when group at Maxim goes to lunch Lol
Dredgegold,,2019-02-08 11:55:00,1.088,BIOC and to all yall who were doubtreesOuch
klb835,,2019-02-08 11:54:00,1.085,BIOC holy balls what happened to this thing
LoOseMoNeY,True,2019-02-08 11:51:00,1.085,BIOC Watch the 13G filings come next week Almost a lock most of these shares are rinsed today with the volume
ShortSqueezedVIP,True,2019-02-08 11:51:00,1.085,BIOC bottom buying alert 10 Sell more if u think u can dead FOMO bear play Volume come when offering closed Load up for next week
